 dia mes anio hora min sec latitud longitud prof mag
309 2017 12 05 00 00 16.900 17.72 -100.22 111.4 0.21
310 2017 12 05 00 59 30.880 16.86 -100.47 10.0 2.67
311 2017 12 05 03 54 54.140 17.02 -100.74 5.0 2.25
312 2017 12 05 08 46 12.700 17.1 -100.15 5.0 2.05
313 2017 12 05 09 15 34.480 16.26 -100.91 16.3 1.85
314 2017 12 05 09 16 05.260 16.26 -100.91 16.3 2.21
315 2017 12 05 11 03 34.160 16.26 -100.91 16.3 2.97
316 2017 12 05 11 30 33.440 16.26 -100.91 16.3 2.11
317 2017 12 05 11 44 17.520 16.26 -100.91 16.3 2.04
318 2017 12 05 13 53 30.600 16.2 -100.94 12.3 2.39
319 2017 12 05 16 30 52.880 16.26 -100.91 16.3 2.0
320 2017 12 05 16 32 38.620 16.26 -100.91 16.3 1.67
321 2017 12 05 16 49 08.220 16.26 -100.91 16.3 1.58
322 2017 12 05 17 05 01.900 16.26 -100.91 16.3 1.73
323 2017 12 05 19 37 30.260 17.24 -101.04 36.2 2.06
324 2017 12 05 19 37 44.180 17.24 -101.04 36.2 2.01
325 2017 12 05 21 26 33.820 17.08 -100.42 52.7 3.31
326 2017 12 06 02 15 02.580 16.26 -100.91 16.3 1.76
327 2017 12 06 10 04 40.820 16.26 -100.91 16.3 2.58
328 2017 12 06 10 43 55.740 17.64 -101.42 47.6 2.35
329 2017 12 06 13 18 47.940 17.58 -101.36 45.6 2.68
330 2017 12 06 16 20 31.140 16.93 -100.37 24.0 2.43
331 2017 12 06 17 06 05.280 16.26 -100.91 16.3 1.74
332 2017 12 06 17 26 41.740 16.99 -100.68 5.0 1.47
333 2017 12 06 23 28 23.960 16.3 -100.88 18.0 1.46
334 2017 12 07 01 04 17.280 16.26 -100.91 16.3 1.64
335 2017 12 07 01 20 22.900 16.73 -101.5 14.1 2.65
336 2017 12 07 09 34 19.040 17.28 -101.09 36.0 1.8
337 2017 12 07 09 40 31.240 17.28 -101.09 36.0 1.66
338 2017 12 07 09 54 00.880 17.28 -101.09 36.0 2.26
339 2017 12 07 11 35 02.460 16.26 -100.91 16.3 1.8
340 2017 12 07 11 46 52.380 16.26 -100.91 16.3 1.73
341 2017 12 07 13 11 02.120 16.99 -100.34 22.0 2.35
342 2017 12 07 19 18 13.760 16.88 -100.52 6.2 2.61
343 2017 12 07 20 15 39.920 16.3 -100.88 16.0 1.99
344 2017 12 07 22 29 05.160 17.53 -101.37 5.0 2.48
345 2017 12 08 01 59 09.620 17.1 -100.39 44.8 2.64
346 2017 12 08 09 20 08.260 16.33 -100.88 14.0 1.76
347 2017 12 08 12 19 03.140 16.3 -100.88 16.0 2.02
348 2017 12 08 12 58 55.600 17.23 -101.47 16.1 2.44
349 2017 12 08 13 42 54.360 16.3 -100.77 10.0 2.1
350 2017 12 08 13 58 15.720 17.23 -101.47 16.1 2.56
351 2017 12 08 15 03 55.940 17.06 -100.63 9.5 2.01
352 2017 12 08 18 35 27.040 16.9 -100.37 1.0 1.71
353 2017 12 08 19 47 40.880 17.16 -100.93 18.6 1.9
354 2017 12 08 20 23 28.160 16.3 -100.77 10.0 1.74
355 2017 12 08 20 52 00.200 17.07 -101.08 40.0 2.61
356 2017 12 08 21 08 16.120 16.88 -100.52 6.2 1.64
357 2017 12 08 21 29 21.880 16.3 -100.88 16.0 1.48
358 2017 12 08 21 33 17.020 16.93 -100.37 24.0 2.01
359 2017 12 09 00 22 27.860 16.83 -101.58 16.1 1.41
360 2017 12 09 02 53 14.160 16.3 -100.88 16.0 1.75
361 2017 12 09 02 59 25.680 17.46 -101.51 40.5 2.2
362 2017 12 09 05 43 48.780 17.23 -101.47 16.1 2.6
363 2017 12 09 07 49 56.040 16.3 -100.88 16.0 1.78
364 2017 12 09 09 56 15.460 16.86 -100.47 10.0 2.37
365 2017 12 09 10 14 50.480 16.87 -100.35 5.0 2.29
366 2017 12 09 10 19 38.540 16.86 -100.47 10.0 2.22
367 2017 12 09 10 28 09.120 16.86 -100.47 10.0 2.33
368 2017 12 09 10 37 27.960 16.86 -100.47 10.0 2.07
369 2017 12 09 10 38 13.500 16.86 -100.47 10.0 2.75
370 2017 12 09 12 31 51.060 16.3 -100.88 16.0 1.92
371 2017 12 09 14 01 40.540 16.3 -100.88 16.0 1.74
372 2017 12 09 16 42 08.400 16.26 -100.91 16.3 1.8
373 2017 12 09 17 56 55.680 16.86 -100.47 10.0 2.42
374 2017 12 09 19 09 10.500 16.86 -100.47 10.0 2.44
